REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;SKU
NS014;Eco-friendly unisex beanie;Black;One Size;85219;85218;23/09/2026;2799;NS014_85219_85218
NS014;Eco-friendly unisex beanie;Navy Blue;One Size;85221;85218;23/09/2026;2321;NS014_85221_85218
NS014;Eco-friendly unisex beanie;Organic Khaki;One Size;85222;85218;15/07/2026;2274;NS014_85222_85218
NS015;Eco-friendly unisex merino wool beanie;Black;One Size;86152;86151;06/11/2026;2698;NS015_86152_86151
NS015;Eco-friendly unisex merino wool beanie;Cool Blue;One Size;86153;86151;15/07/2026;1242;NS015_86153_86151
NS015;Eco-friendly unisex merino wool beanie;Volcano Grey Heather;One Size;86157;86151;22/10/2026;1597;NS015_86157_86151
NS016;Eco-friendly unisex corduroy cap 6 panels;Black;One Size;89084;89083;09/12/2026;2000;NS016_89084_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Dark camel;One Size;89085;89083;15/07/2026;700;NS016_89085_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Ivory;One Size;89086;89083;09/12/2026;2000;NS016_89086_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Navy Blue;One Size;89087;89083;09/12/2026;3000;NS016_89087_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Organic Khaki;One Size;89088;89083;09/12/2026;3000;NS016_89088_89083
NS020;Eco-friendly unisex washed effect bucket hat;Washed Almond Green;L/XL;74423;74422;15/07/2026;2000;NS020_74423_74422
NS020;Eco-friendly unisex washed effect bucket hat;Washed Aquamarine;S/M;74424;74421;15/07/2026;1000;NS020_74424_74421
NS035;Eco-friendly unisex trucker cap 5 panels;Black;One Size;89097;89096;15/07/2026;700;NS035_89097_89096
NS037;Eco-friendly unisex cap 5 panels;Black;One Size;89110;89109;09/12/2026;1068;NS037_89110_89109
NS037;Eco-friendly unisex cap 5 panels;Ivory;One Size;89113;89109;15/07/2026;1400;NS037_89113_89109
NS038;Eco-friendly unisex cap 6 panels;Black;One Size;89117;89116;15/07/2026;3100;NS038_89117_89116
NS040;Eco-friendly unisex washed effect cap;Washed Almond Green;One Size;74430;74429;15/07/2026;4800;NS040_74430_74429
NS040;Eco-friendly unisex washed effect cap;Washed Aquamarine;One Size;74431;74429;09/12/2026;4000;NS040_74431_74429
NS040;Eco-friendly unisex washed effect cap;Washed black;One Size;74432;74429;15/07/2026;8000;NS040_74432_74429
NS040;Eco-friendly unisex washed effect cap;Washed black;One Size;74432;74429;09/12/2026;5000;NS040_74432_74429
NS040;Eco-friendly unisex washed effect cap;Washed Navy Blue;One Size;74433;74429;09/12/2026;4165;NS040_74433_74429
NS040;Eco-friendly unisex washed effect cap;Washed Organic Khaki;One Size;74434;74429;15/07/2026;900;NS040_74434_74429
NS040;Eco-friendly unisex washed effect cap;Washed Organic Khaki;One Size;74434;74429;09/12/2026;5000;NS040_74434_74429
NS040;Eco-friendly unisex washed effect cap;Washed Petal Rose;One Size;74435;74429;15/07/2026;6500;NS040_74435_74429
NS040;Eco-friendly unisex washed effect cap;Washed Amazon Green;One Size;87226;74429;09/12/2026;2197;NS040_87226_74429
NS040;Eco-friendly unisex washed effect cap;Washed Brook Green;One Size;87227;74429;15/07/2026;3000;NS040_87227_74429
NS040;Eco-friendly unisex washed effect cap;Washed Ivory;One Size;87229;74429;09/12/2026;4000;NS040_87229_74429
NS040;Eco-friendly unisex washed effect cap;Washed Paprika;One Size;87230;74429;09/12/2026;2829;NS040_87230_74429
NS040;Eco-friendly unisex washed effect cap;Washed Parma;One Size;87231;74429;15/07/2026;807;NS040_87231_74429
NS102;Eco-friendly vintage travel bag;Washed Organic Khaki;One Size;78648;78644;15/07/2026;324;NS102_78648_78644
NS107C;Fleece shoulder bag;Hibiscus Red;One Size;74449;74446;15/07/2026;600;NS107C_74449_74446
NS107C;Fleece shoulder bag;Wet Sand;One Size;74452;74446;15/07/2026;600;NS107C_74452_74446
NS108;Eco-friendly corduroy washed effect fanny bag;Washed black;One Size;89886;89885;15/09/2026;2000;NS108_89886_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Dark Camel;One Size;89887;89885;24/07/2026;2946;NS108_89887_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Dark Camel;One Size;89887;89885;15/09/2026;2560;NS108_89887_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Navy Blue;One Size;89888;89885;24/07/2026;1493;NS108_89888_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Navy Blue;One Size;89888;89885;15/09/2026;2000;NS108_89888_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Organic Khaki;One Size;89889;89885;24/07/2026;1293;NS108_89889_89885
NS108;Eco-friendly corduroy washed effect fanny bag;Washed Organic Khaki;One Size;89889;89885;15/09/2026;2580;NS108_89889_89885
NS109;Eco-friendly Unisex backpack;Black;One Size;95857;95856;15/07/2026;930;NS109_95857_95856
NS109;Eco-friendly Unisex backpack;Dark camel / Black;One Size;97062;95856;15/07/2026;1240;NS109_97062_95856
NS121;Eco-friendly long shopping bag;Black;One Size;74454;74453;15/07/2026;570;NS121_74454_74453
NS121;Eco-friendly long shopping bag;Black;One Size;74454;74453;;3000;NS121_74454_74453
NS121;Eco-friendly long shopping bag;Navy Blue;One Size;74456;74453;15/07/2026;660;NS121_74456_74453
NS121;Eco-friendly long shopping bag;Navy Blue;One Size;74456;74453;;1980;NS121_74456_74453
NS133;Eco-friendly corduroy washed effect bag;Washed black;One Size;85039;85038;15/07/2026;520;NS133_85039_85038
NS133;Eco-friendly corduroy washed effect bag;Washed Dark Camel;One Size;85040;85038;15/07/2026;480;NS133_85040_85038
NS133;Eco-friendly corduroy washed effect bag;Washed Dark Camel;One Size;85040;85038;24/07/2026;1840;NS133_85040_85038
NS133;Eco-friendly corduroy washed effect bag;Washed Navy Blue;One Size;85041;85038;15/07/2026;280;NS133_85041_85038
NS133;Eco-friendly corduroy washed effect bag;Washed Organic Khaki;One Size;88539;85038;24/07/2026;2000;NS133_88539_85038
NS134;Eco-friendly corduroy washed effect pouch;Washed black;One Size;85035;85034;24/09/2026;1050;NS134_85035_85034
NS134;Eco-friendly corduroy washed effect pouch;Washed Dark Camel;One Size;85036;85034;24/09/2026;1500;NS134_85036_85034
NS134;Eco-friendly corduroy washed effect pouch;Washed Navy Blue;One Size;85037;85034;24/09/2026;1200;NS134_85037_85034
NS134;Eco-friendly corduroy washed effect pouch;Washed Organic Khaki;One Size;88540;85034;24/07/2026;2100;NS134_88540_85034
NS134;Eco-friendly corduroy washed effect pouch;Washed Organic Khaki;One Size;88540;85034;24/09/2026;1350;NS134_88540_85034
NS200;Eco-friendly men's polo shirt;Navy Blue;S;74489;74479;15/07/2026;420;NS200_74489_74479
NS200;Eco-friendly men's polo shirt;Navy Blue;3XL;74489;74484;15/07/2026;240;NS200_74489_74484
NS200;Eco-friendly men's polo shirt;White;S;74493;74479;15/07/2026;390;NS200_74493_74479
NS200;Eco-friendly men's polo shirt;White;M;74493;74480;15/07/2026;780;NS200_74493_74480
NS200;Eco-friendly men's polo shirt;White;L;74493;74481;15/07/2026;690;NS200_74493_74481
NS200;Eco-friendly men's polo shirt;White;XXL;74493;74483;15/07/2026;60;NS200_74493_74483
NS207;Eco-friendly men’s piqué polo shirt;Black;S;85741;85726;24/07/2026;150;NS207_85741_85726
NS207;Eco-friendly men’s piqué polo shirt;Black;M;85741;85729;15/07/2026;780;NS207_85741_85729
NS207;Eco-friendly men’s piqué polo shirt;Black;M;85741;85729;24/07/2026;750;NS207_85741_85729
NS207;Eco-friendly men’s piqué polo shirt;Black;L;85741;85730;24/07/2026;660;NS207_85741_85730
NS207;Eco-friendly men’s piqué polo shirt;Black;XL;85741;85733;24/07/2026;510;NS207_85741_85733
NS207;Eco-friendly men’s piqué polo shirt;Black;XXL;85741;85734;15/07/2026;270;NS207_85741_85734
NS207;Eco-friendly men’s piqué polo shirt;Black;XXL;85741;85734;24/07/2026;240;NS207_85741_85734
NS207;Eco-friendly men’s piqué polo shirt;Ivory;S;85745;85726;08/03/2027;180;NS207_85745_85726
NS207;Eco-friendly men’s piqué polo shirt;Ivory;XL;85745;85733;08/03/2027;810;NS207_85745_85733
NS207;Eco-friendly men’s piqué polo shirt;Ivory;XXL;85745;85734;08/03/2027;600;NS207_85745_85734
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;M;85749;85729;08/03/2027;150;NS207_85749_85729
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;L;85749;85730;08/03/2027;450;NS207_85749_85730
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;XL;85749;85733;24/07/2026;600;NS207_85749_85733
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;XL;85749;85733;08/03/2027;690;NS207_85749_85733
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;XXL;85749;85734;24/07/2026;838;NS207_85749_85734
NS207;Eco-friendly men’s piqué polo shirt;Navy Blue;XXL;85749;85734;08/03/2027;270;NS207_85749_85734
NS207;Eco-friendly men’s piqué polo shirt;Organic Khaki;S;85750;85726;24/07/2026;390;NS207_85750_85726
NS207;Eco-friendly men’s piqué polo shirt;Organic Khaki;M;85750;85729;24/07/2026;810;NS207_85750_85729
NS207;Eco-friendly men’s piqué polo shirt;Organic Khaki;XL;85750;85733;24/07/2026;150;NS207_85750_85733
NS207;Eco-friendly men’s piqué polo shirt;Organic Khaki;XXL;85750;85734;24/07/2026;150;NS207_85750_85734
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;S;85753;85726;28/08/2026;30;NS207_85753_85726
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;S;85753;85726;22/10/2026;210;NS207_85753_85726
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;S;85753;85726;08/03/2027;180;NS207_85753_85726
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;M;85753;85729;28/08/2026;301;NS207_85753_85729
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;M;85753;85729;22/10/2026;300;NS207_85753_85729
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;M;85753;85729;08/03/2027;420;NS207_85753_85729
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;L;85753;85730;28/08/2026;835;NS207_85753_85730
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;L;85753;85730;22/10/2026;600;NS207_85753_85730
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;L;85753;85730;08/03/2027;210;NS207_85753_85730
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;XL;85753;85733;28/08/2026;381;NS207_85753_85733
NS207;Eco-friendly men’s piqué polo shirt;Peacock Blue;XL;85753;85733;22/10/2026;510;NS207_85753_85733
