REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;QUANTITYSUP;SKU
NS014;Eco-friendly unisex beanie;Black;One Size;85219;85218;0;0;NS014_85219_85218
NS014;Eco-friendly unisex beanie;Ivory;One Size;85220;85218;2162;0;NS014_85220_85218
NS014;Eco-friendly unisex beanie;Navy Blue;One Size;85221;85218;0;0;NS014_85221_85218
NS014;Eco-friendly unisex beanie;Organic Khaki;One Size;85222;85218;2280;0;NS014_85222_85218
NS015;Eco-friendly unisex merino wool beanie;Black;One Size;86152;86151;2585;0;NS015_86152_86151
NS015;Eco-friendly unisex merino wool beanie;Cool Blue;One Size;86153;86151;1397;0;NS015_86153_86151
NS015;Eco-friendly unisex merino wool beanie;Dark camel;One Size;86154;86151;1151;0;NS015_86154_86151
NS015;Eco-friendly unisex merino wool beanie;Moon Grey Heather;One Size;86155;86151;1290;0;NS015_86155_86151
NS015;Eco-friendly unisex merino wool beanie;Navy Blue;One Size;86156;86151;2509;0;NS015_86156_86151
NS015;Eco-friendly unisex merino wool beanie;Volcano Grey Heather;One Size;86157;86151;46;0;NS015_86157_86151
NS016;Eco-friendly unisex corduroy cap 6 panels;Black;One Size;89084;89083;0;0;NS016_89084_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Dark camel;One Size;89085;89083;1234;0;NS016_89085_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Ivory;One Size;89086;89083;3011;0;NS016_89086_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Navy Blue;One Size;89087;89083;1768;0;NS016_89087_89083
NS016;Eco-friendly unisex corduroy cap 6 panels;Organic Khaki;One Size;89088;89083;1539;0;NS016_89088_89083
NS017;Eco-friendly unisex Terry Towel bucket hat;Almond Green;S/M;89881;89879;934;0;NS017_89881_89879
NS017;Eco-friendly unisex Terry Towel bucket hat;Ivory;S/M;89882;89879;1357;0;NS017_89882_89879
NS017;Eco-friendly unisex Terry Towel bucket hat;Navy Blue;S/M;89883;89879;1486;0;NS017_89883_89879
NS017;Eco-friendly unisex Terry Towel bucket hat;Petal Rose;S/M;89884;89879;789;0;NS017_89884_89879
NS017;Eco-friendly unisex Terry Towel bucket hat;Almond Green;L/XL;89881;89880;1015;0;NS017_89881_89880
NS017;Eco-friendly unisex Terry Towel bucket hat;Ivory;L/XL;89882;89880;1295;0;NS017_89882_89880
NS017;Eco-friendly unisex Terry Towel bucket hat;Navy Blue;L/XL;89883;89880;1457;0;NS017_89883_89880
NS017;Eco-friendly unisex Terry Towel bucket hat;Petal Rose;L/XL;89884;89880;956;0;NS017_89884_89880
NS019;Eco-friendly unisex corduroy bucket hat;Black;S/M;89091;89089;1681;0;NS019_89091_89089
NS019;Eco-friendly unisex corduroy bucket hat;Dark camel;S/M;89092;89089;1040;0;NS019_89092_89089
NS019;Eco-friendly unisex corduroy bucket hat;Ivory;S/M;89093;89089;1159;0;NS019_89093_89089
NS019;Eco-friendly unisex corduroy bucket hat;Navy Blue;S/M;89094;89089;1730;0;NS019_89094_89089
